HWs,CPU,Mem,Netz
HW 1,23,4075,2819
HW 2,14,23679,1726
HW 3,29,16546,4828
HW 4,35,43999,1966
HW 5,20,22688,867
HW 6,21,9146,298
HW 7,32,8758,2160
HW 8,44,19163,1414
HW 9,40,34182,2812
HW 10,16,44151,4407
HW 11,9,49769,344
HW 12,16,15021,4022
HW 13,29,41618,3658
HW 14,33,13983,685
HW 15,11,47487,4613
HW 16,38,16795,2043
HW 17,36,26512,1453
HW 18,7,4808,2868
HW 19,15,15630,19
HW 20,38,46503,3848
HW 21,47,42483,4187
HW 22,24,35905,3449
HW 23,22,2971,1888
HW 24,15,42696,3879
HW 25,13,34897,45
HW 26,20,46219,4409
HW 27,10,37414,316
HW 28,30,21196,375
HW 29,23,49448,813
HW 30,9,16740,2969
HW 31,7,11120,4494
HW 32,33,5230,56
HW 33,25,7849,1250
HW 34,49,3271,2445
HW 35,3,31777,3349
HW 36,15,21187,4029
HW 37,34,23793,1916
HW 38,42,39299,471
HW 39,1,18662,3923
HW 40,21,31311,4648
HW 41,23,7022,4348
HW 42,39,46146,1945
HW 43,30,30405,3053
HW 44,1,16843,4086
HW 45,13,7643,631
HW 46,47,7083,2194
HW 47,42,24293,1285
HW 48,2,34577,1786
HW 49,35,36910,4230
HW 50,8,23915,1853
HW 51,23,14609,526
HW 52,49,46397,4915
HW 53,45,14385,536
HW 54,16,28470,4028
HW 55,29,19761,3753
HW 56,47,15138,3296
HW 57,26,34797,3870
HW 58,46,17577,1290
HW 59,6,15018,1113
HW 60,22,21158,3187
HW 61,6,21039,2659
HW 62,19,18449,19
HW 63,16,39317,1986
HW 64,17,32104,2566
HW 65,37,32490,1277
HW 66,35,21896,2542
HW 67,29,41002,2036
HW 68,33,3790,4399
HW 69,18,30359,428
HW 70,24,43510,3423
HW 71,17,38412,2974
HW 72,25,2606,3624
HW 73,26,13861,3160
HW 74,40,37852,134
HW 75,42,16992,619
HW 76,37,19625,3303
HW 77,35,32938,434
HW 78,32,47746,173
HW 79,18,35041,3983
HW 80,13,43520,623
HW 81,13,4706,3817
HW 82,10,20055,1498
HW 83,8,15330,4434
HW 84,19,23475,4065
HW 85,34,12089,3131
HW 86,27,10783,946
HW 87,21,9643,4531
HW 88,4,34608,4210
HW 89,46,43964,3987
