HW Name,HW CPU, HW Mem, HW Netz, VMs, VMs CPU, VMs Mem, VMs Netz
HW 1,28,40119,4138,VM 1 VM 142 VM 171 VM 255 VM 356 VM 475 VM 503 VM 536 VM 659 VM 711 VM 768 VM 860 VM 905 VM 973 VM 990 ,36,45562,4232
HW 2,43,15343,3180,VM 2 VM 172 VM 207 VM 357 VM 401 VM 504 VM 630 VM 660 VM 712 VM 769 VM 795 VM 819 VM 840 VM 861 VM 885 VM 906 VM 974 ,35,47910,4517
HW 3,40,14104,3437,VM 3 VM 100 VM 256 VM 295 VM 321 VM 358 VM 476 VM 537 VM 560 VM 597 VM 631 VM 661 VM 713 VM 740 VM 796 VM 820 VM 841 VM 862 VM 886 VM 907 VM 975 VM 991 ,33,62900,5032
HW 4,2,26349,2175,VM 4 VM 106 ,2,8353,38
HW 5,12,8800,748,VM 5 VM 101 VM 257 VM 359 VM 402 ,12,14097,1710
HW 6,3,7171,2445,VM 6 VM 105 ,3,4910,433
HW 7,9,4673,4799,VM 7 VM 208 VM 296 VM 322 ,9,9675,981
HW 8,34,49689,4375,VM 8 VM 143 VM 209 VM 297 VM 323 VM 446 VM 505 VM 598 VM 714 VM 741 VM 842 VM 863 VM 887 VM 908 VM 960 VM 977 VM 994 ,33,36490,3279
HW 9,39,12648,4137,VM 9 VM 103 VM 210 VM 360 VM 403 VM 448 VM 561 VM 662 VM 690 VM 715 VM 742 VM 843 VM 927 VM 936 VM 992 ,36,30588,4099
HW 10,15,22903,2541,VM 10 VM 104 VM 211 VM 361 VM 404 VM 477 ,15,16519,1479
HW 11,46,29741,4883,VM 11 VM 173 VM 212 VM 258 VM 362 VM 478 VM 538 VM 562 VM 599 VM 663 VM 691 VM 716 VM 743 VM 797 VM 844 VM 928 VM 937 VM 976 ,35,39389,4727
HW 12,38,28878,698,VM 12 VM 107 VM 144 VM 298 VM 324 VM 479 VM 506 VM 539 VM 664 VM 692 VM 798 VM 888 VM 909 VM 978 ,34,34774,3155
HW 13,6,26575,1054,VM 13 VM 108 VM 174 VM 259 ,6,14483,566
HW 14,17,9399,2189,VM 14 VM 213 VM 363 VM 480 VM 507 VM 540 VM 563 VM 600 VM 633 ,17,26516,2693
HW 15,2,3145,4825,VM 15 VM 112 ,2,5360,737
HW 16,43,27993,4207,VM 16 VM 214 VM 364 VM 481 VM 564 VM 693 VM 744 VM 770 VM 799 VM 821 VM 845 VM 910 VM 938 VM 993 ,36,27866,3346
HW 17,5,36009,2162,VM 17 VM 109 VM 215 ,5,7295,667
HW 18,43,44618,2118,VM 18 VM 175 VM 325 VM 365 VM 405 VM 482 VM 601 VM 694 VM 717 VM 745 VM 771 VM 822 VM 846 VM 911 VM 939 VM 961 ,33,42016,3289
HW 19,6,38896,1107,VM 19 VM 216 VM 262 ,6,6449,938
HW 20,26,27790,3068,VM 20 VM 176 VM 217 VM 299 VM 326 VM 366 VM 406 VM 508 VM 541 VM 632 VM 746 VM 772 VM 848 VM 869 ,26,28969,3941
HW 21,24,32249,1941,VM 21 VM 218 VM 260 VM 367 VM 407 VM 542 VM 602 VM 695 VM 747 VM 802 VM 828 ,24,34766,2268
HW 22,7,22113,2190,VM 22 VM 220 VM 264 ,7,4534,490
HW 23,1,39959,4933,VM 25 ,1,3363,379
HW 24,41,36689,4347,VM 23 VM 219 VM 368 VM 449 VM 483 VM 565 VM 603 VM 665 VM 696 VM 748 VM 823 VM 864 VM 940 ,33,26611,3019
HW 25,43,2131,926,VM 24 VM 221 VM 261 VM 369 VM 509 VM 566 VM 634 VM 749 VM 773 VM 800 VM 865 VM 941 VM 979 ,34,31873,2826
HW 26,1,1121,3900,VM 28 ,1,2565,126
HW 27,20,46604,1943,VM 26 VM 145 VM 177 VM 300 VM 450 VM 510 VM 604 VM 635 VM 698 VM 721 ,20,29277,3158
HW 28,30,2834,47,VM 27 VM 146 VM 178 VM 222 VM 327 VM 370 VM 408 VM 511 VM 605 VM 636 VM 718 VM 824 VM 866 VM 929 VM 943 ,30,38660,3920
HW 29,1,33703,4262,VM 30 ,1,4235,267
HW 30,17,29988,3832,VM 29 VM 179 VM 223 VM 328 VM 409 VM 512 VM 567 VM 606 VM 637 ,17,21579,2555
HW 31,32,24712,4025,VM 31 VM 110 VM 224 VM 263 VM 371 VM 410 VM 451 VM 513 VM 568 VM 607 VM 719 VM 774 VM 847 VM 912 VM 942 ,32,39783,3627
HW 32,22,23938,1650,VM 32 VM 225 VM 265 VM 329 VM 372 VM 452 VM 484 VM 608 VM 638 VM 720 VM 775 ,22,37919,3159
HW 33,30,45324,3855,VM 33 VM 226 VM 330 VM 373 VM 485 VM 543 VM 666 VM 776 VM 849 VM 867 VM 931 VM 944 ,30,26677,2787
HW 34,33,100,541,VM 34 VM 227 VM 266 VM 301 VM 331 VM 411 VM 514 VM 544 VM 569 VM 639 VM 722 VM 777 VM 801 VM 868 VM 913 VM 962 VM 981 VM 996 ,33,38068,4828
HW 35,35,28167,1934,VM 35 VM 228 VM 267 VM 332 VM 374 VM 453 VM 570 VM 667 VM 697 VM 778 VM 825 VM 889 VM 945 ,33,34847,2901
HW 36,27,25289,540,VM 36 VM 229 VM 302 VM 333 VM 454 VM 486 VM 515 VM 640 VM 723 VM 779 VM 871 ,27,34502,3357
HW 37,11,29918,3302,VM 37 VM 111 VM 230 VM 303 VM 375 VM 412 VM 463 ,11,17746,1701
HW 38,25,47843,4026,VM 38 VM 147 VM 268 VM 334 VM 455 VM 545 VM 609 VM 641 VM 668 VM 724 VM 750 VM 803 VM 852 ,25,37402,3656
