HW Name,HW CPU, HW Mem, HW Netz, VMs, VMs CPU, VMs Mem, VMs Netz
HW 1,28,40119,4138,VM 32 VM 78 VM 123 VM 129 VM 145 VM 197 VM 293 VM 324 VM 347 VM 381 VM 385 VM 453 VM 551 VM 584 VM 1007 VM 1035 VM 1050 VM 1152 VM 1251 VM 1272 VM 1274 VM 1568 VM 1577 VM 1842 VM 1871 VM 1885 VM 1952 VM 2573 VM 2634 VM 2683 VM 2722 VM 2919 VM 3136 VM 3353 VM 3399 VM 3504 VM 3716 VM 3730 VM 3763 VM 3791 VM 3963 VM 4021 VM 4033 VM 4108 VM 4169 VM 4200 VM 4378 VM 4441 VM 4457 VM 4458 VM 4512 VM 4522 VM 4885 VM 4950 VM 5051 VM 5126 VM 5138 VM 5165 VM 5248 VM 5369 VM 5515 VM 5673 VM 5743 VM 5822 VM 5833 VM 5878 VM 5920 VM 6112 VM 6361 VM 6408 VM 6429 VM 6453 VM 6641 VM 6722 VM 6777 VM 6783 VM 6827 VM 6963 VM 6967 VM 7179 VM 7243 VM 7521 VM 7586 VM 7800 VM 7924 VM 8055 VM 8131 VM 8142 VM 8171 VM 8279 VM 8372 VM 8502 VM 8732 VM 8785 VM 8806 VM 8901 VM 8920 VM 8956 VM 8966 VM 9119 VM 9146 VM 9220 VM 9335 VM 9539 VM 9548 VM 9592 VM 9771 VM 9788 VM 9813 VM 9968 ,223,285122,28141
HW 2,43,15343,3180,VM 13 VM 107 VM 198 VM 200 VM 275 VM 333 VM 366 VM 429 VM 448 VM 590 VM 597 VM 959 VM 1080 VM 1276 VM 1509 VM 1560 VM 1599 VM 1673 VM 1698 VM 1891 VM 1904 VM 2035 VM 2189 VM 2406 VM 2424 VM 2452 VM 2469 VM 2481 VM 2953 VM 2967 VM 2969 VM 2974 VM 3008 VM 3167 VM 3286 VM 3340 VM 3468 VM 3478 VM 3588 VM 3859 VM 3913 VM 3968 VM 4058 VM 4106 VM 4142 VM 4239 VM 4282 VM 4326 VM 4430 VM 4664 VM 4732 VM 4860 VM 4887 VM 5034 VM 5082 VM 5290 VM 5429 VM 5614 VM 5668 VM 5757 VM 6049 VM 6152 VM 6394 VM 6559 VM 6654 VM 6851 VM 6909 VM 6944 VM 7014 VM 7271 VM 7287 VM 7397 VM 7564 VM 7567 VM 7606 VM 7646 VM 7662 VM 7700 VM 7754 VM 7786 VM 7819 VM 7887 VM 8011 VM 8045 VM 8074 VM 8153 VM 8266 VM 8392 VM 8404 VM 8458 VM 8695 VM 8780 VM 9045 VM 9048 VM 9184 VM 9372 VM 9473 VM 9540 VM 9628 VM 9725 VM 9807 VM 9817 VM 9891 VM 9936 ,233,258171,24152
HW 3,40,14104,3437,VM 119 VM 413 VM 516 VM 667 VM 706 VM 848 VM 930 VM 1197 VM 1237 VM 1462 VM 1518 VM 1659 VM 1696 VM 1722 VM 1853 VM 2079 VM 2111 VM 2175 VM 2697 VM 2700 VM 3062 VM 3079 VM 3156 VM 3427 VM 3592 VM 3775 VM 3777 VM 3925 VM 4057 VM 4160 VM 4174 VM 4258 VM 4490 VM 4911 VM 5069 VM 5145 VM 5317 VM 5358 VM 5417 VM 5483 VM 5676 VM 5689 VM 5923 VM 5942 VM 6190 VM 6240 VM 6274 VM 6327 VM 6534 VM 6575 VM 6656 VM 6685 VM 6776 VM 7356 VM 7820 VM 7868 VM 7913 VM 7920 VM 8148 VM 8302 VM 8358 VM 8689 VM 8745 VM 8837 VM 8862 VM 8864 VM 8950 VM 9015 VM 9037 VM 9074 VM 9206 VM 9234 VM 9442 VM 9655 VM 9673 VM 9832 VM 9877 VM 9989 ,168,205292,21298
HW 4,2,26349,2175,VM 43 VM 231 VM 251 VM 282 VM 354 VM 502 VM 580 VM 651 VM 695 VM 719 VM 838 VM 880 VM 918 VM 929 VM 1247 VM 1255 VM 1277 VM 1476 VM 1594 VM 1764 VM 1787 VM 1788 VM 1848 VM 1908 VM 2053 VM 2200 VM 2444 VM 2459 VM 2489 VM 2510 VM 2737 VM 2872 VM 3046 VM 3102 VM 3147 VM 3149 VM 3331 VM 3389 VM 3511 VM 3550 VM 3619 VM 3705 VM 3725 VM 3877 VM 3890 VM 3895 VM 3900 VM 4343 VM 4447 VM 4463 VM 4499 VM 4597 VM 4624 VM 4674 VM 4938 VM 5105 VM 5376 VM 5527 VM 5657 VM 5953 VM 6441 VM 6470 VM 6535 VM 6633 VM 6781 VM 6787 VM 6791 VM 6884 VM 7313 VM 7428 VM 7651 VM 7874 VM 8229 VM 8387 VM 8399 VM 8446 VM 8580 VM 8622 VM 8654 VM 8791 VM 8904 VM 8969 VM 9386 VM 9598 VM 9635 VM 9680 VM 9816 VM 9863 ,188,218031,21362
HW 5,12,8800,748,VM 368 VM 396 VM 427 VM 518 VM 629 VM 694 VM 789 VM 874 VM 1242 VM 1252 VM 1267 VM 1316 VM 1427 VM 1447 VM 1466 VM 1580 VM 1607 VM 1731 VM 1739 VM 1834 VM 1911 VM 1918 VM 1919 VM 1997 VM 2042 VM 2437 VM 2478 VM 2647 VM 2900 VM 2927 VM 2944 VM 2994 VM 3066 VM 3146 VM 3171 VM 3220 VM 3388 VM 3412 VM 3489 VM 3497 VM 3569 VM 3940 VM 3972 VM 4044 VM 4104 VM 4307 VM 4336 VM 4484 VM 4610 VM 4632 VM 4884 VM 4895 VM 4959 VM 5043 VM 5092 VM 5240 VM 5705 VM 5762 VM 6270 VM 6340 VM 6355 VM 6395 VM 6577 VM 6686 VM 6816 VM 6929 VM 7222 VM 7400 VM 7436 VM 7592 VM 7630 VM 7653 VM 7657 VM 7725 VM 7864 VM 8006 VM 8207 VM 8243 VM 8442 VM 8501 VM 8530 VM 8781 VM 8979 VM 9008 VM 9047 VM 9303 VM 9409 VM 9443 VM 9701 VM 9795 VM 9880 VM 9987 ,209,248903,23613
HW 6,3,7171,2445,VM 91 VM 94 VM 203 VM 329 VM 475 VM 567 VM 674 VM 699 VM 724 VM 779 VM 1059 VM 1076 VM 1169 VM 1263 VM 1440 VM 1454 VM 1470 VM 1576 VM 1732 VM 1945 VM 1981 VM 2045 VM 2050 VM 2106 VM 2131 VM 2616 VM 2635 VM 2761 VM 2911 VM 2943 VM 2971 VM 2975 VM 3197 VM 3239 VM 3257 VM 3284 VM 3290 VM 3382 VM 3483 VM 3535 VM 3576 VM 3624 VM 3858 VM 3920 VM 3992 VM 4242 VM 4338 VM 4460 VM 4532 VM 4533 VM 4609 VM 4875 VM 5149 VM 5453 VM 5553 VM 5698 VM 5701 VM 6272 VM 6283 VM 6286 VM 6350 VM 6396 VM 6504 VM 6558 VM 6613 VM 6852 VM 7097 VM 7115 VM 7171 VM 7334 VM 7497 VM 7753 VM 7766 VM 7817 VM 7855 VM 8008 VM 8191 VM 8202 VM 8220 VM 8303 VM 8486 VM 8510 VM 8597 VM 8671 VM 8717 VM 8776 VM 8809 VM 8853 VM 8865 VM 8991 VM 9114 VM 9422 VM 9514 VM 9605 VM 9640 VM 9676 VM 9853 VM 9892 ,198,235987,23110
HW 7,9,4673,4799,VM 14 VM 18 VM 47 VM 69 VM 337 VM 406 VM 509 VM 511 VM 540 VM 647 VM 764 VM 927 VM 1037 VM 1094 VM 1111 VM 1186 VM 1553 VM 1730 VM 1825 VM 1928 VM 1934 VM 1958 VM 2027 VM 2070 VM 2104 VM 2129 VM 2150 VM 2326 VM 2418 VM 2498 VM 2731 VM 2826 VM 2866 VM 3129 VM 3283 VM 3294 VM 3663 VM 3714 VM 3729 VM 3754 VM 3762 VM 3771 VM 3805 VM 3817 VM 3825 VM 3885 VM 4004 VM 4046 VM 4086 VM 4127 VM 4165 VM 4367 VM 4391 VM 4399 VM 4648 VM 4687 VM 4719 VM 4741 VM 5075 VM 5079 VM 5182 VM 5397 VM 5419 VM 5539 VM 5622 VM 5952 VM 5980 VM 5992 VM 6187 VM 6230 VM 6301 VM 6344 VM 6557 VM 6667 VM 6681 VM 6719 VM 6976 VM 7005 VM 7038 VM 7113 VM 7223 VM 7297 VM 7425 VM 7583 VM 7788 VM 7930 VM 8028 VM 8284 VM 8433 VM 8437 VM 8491 VM 8573 VM 8645 VM 8679 VM 8744 VM 8922 VM 8983 VM 8985 VM 9183 VM 9275 VM 9364 VM 9425 VM 9790 VM 9810 VM 9854 ,237,251512,27133
HW 8,34,49689,4375,VM 60 VM 84 VM 103 VM 204 VM 408 VM 483 VM 619 VM 628 VM 702 VM 721 VM 765 VM 980 VM 1009 VM 1089 VM 1270 VM 1315 VM 1346 VM 1357 VM 1643 VM 1691 VM 2021 VM 2176 VM 2240 VM 2382 VM 2415 VM 2435 VM 2450 VM 2473 VM 2692 VM 2752 VM 2892 VM 2929 VM 2960 VM 2962 VM 2986 VM 3086 VM 3241 VM 3253 VM 3278 VM 3314 VM 3343 VM 3415 VM 3594 VM 3661 VM 3665 VM 3667 VM 3808 VM 3846 VM 3981 VM 4031 VM 4073 VM 4084 VM 4226 VM 4237 VM 4240 VM 4267 VM 4315 VM 4757 VM 4758 VM 4855 VM 4928 VM 5101 VM 5208 VM 5403 VM 5443 VM 5451 VM 5459 VM 5518 VM 5552 VM 5596 VM 5694 VM 5739 VM 5904 VM 5906 VM 5951 VM 6030 VM 6038 VM 6105 VM 6302 VM 6360 VM 6437 VM 6502 VM 6647 VM 6734 VM 6998 VM 7008 VM 7015 VM 7021 VM 7090 VM 7172 VM 7186 VM 7246 VM 7247 VM 7396 VM 7983 VM 8336 VM 8635 VM 8647 VM 8735 VM 8819 VM 8859 VM 9189 VM 9198 VM 9210 VM 9495 VM 9537 VM 9890 ,242,250021,25898
HW 9,39,12648,4137,VM 44 VM 131 VM 205 VM 460 VM 858 VM 931 VM 960 VM 1002 VM 1048 VM 1060 VM 1409 VM 1589 VM 1623 VM 1633 VM 1672 VM 1729 VM 1793 VM 2031 VM 2061 VM 2117 VM 2214 VM 2268 VM 2407 VM 2441 VM 2610 VM 2776 VM 2947 VM 2949 VM 2993 VM 3211 VM 3224 VM 3328 VM 3345 VM 3612 VM 3694 VM 3822 VM 4064 VM 4069 VM 4372 VM 4421 VM 4586 VM 4820 VM 5180 VM 5394 VM 5411 VM 5508 VM 5512 VM 5627 VM 5786 VM 5979 VM 5986 VM 6071 VM 6082 VM 6130 VM 6418 VM 6473 VM 6615 VM 6655 VM 6682 VM 6953 VM 7093 VM 7225 VM 7519 VM 7587 VM 7723 VM 7730 VM 7784 VM 7792 VM 7798 VM 7876 VM 7936 VM 8231 VM 8298 VM 8312 VM 8324 VM 8533 VM 8539 VM 8541 VM 8560 VM 8644 VM 8685 VM 8701 VM 8767 VM 8940 VM 9039 VM 9152 VM 9203 VM 9596 VM 9643 VM 9649 VM 9696 VM 9951 ,197,224771,24640
HW 10,15,22903,2541,VM 4 VM 95 VM 371 VM 645 VM 834 VM 842 VM 863 VM 934 VM 946 VM 970 VM 1006 VM 1014 VM 1116 VM 1137 VM 1156 VM 1229 VM 1309 VM 1393 VM 1419 VM 1483 VM 1647 VM 1711 VM 1744 VM 1870 VM 1892 VM 2018 VM 2179 VM 2327 VM 2350 VM 2398 VM 2425 VM 2512 VM 2709 VM 2749 VM 2857 VM 3078 VM 3182 VM 3291 VM 3447 VM 3477 VM 3501 VM 4074 VM 4218 VM 4334 VM 4498 VM 4775 VM 4815 VM 4849 VM 4930 VM 4986 VM 5012 VM 5024 VM 5070 VM 5114 VM 5191 VM 5217 VM 5226 VM 5409 VM 5444 VM 5472 VM 5594 VM 5699 VM 5789 VM 5929 VM 5943 VM 6101 VM 6158 VM 6349 VM 6515 VM 6528 VM 6732 VM 6810 VM 6860 VM 7054 VM 7083 VM 7226 VM 7244 VM 7260 VM 7283 VM 7327 VM 7361 VM 7458 VM 7466 VM 7486 VM 7669 VM 7853 VM 7931 VM 7974 VM 8030 VM 8204 VM 8280 VM 8315 VM 8360 VM 8559 VM 8845 VM 8893 VM 8980 VM 9107 VM 9147 VM 9215 VM 9239 VM 9346 VM 9349 VM 9433 VM 9507 VM 9521 VM 9591 VM 9641 VM 9670 VM 9697 VM 9704 VM 9739 VM 9901 ,242,275591,27326
