HW Name,HW CPU, HW Mem, HW Netz, VMs, VMs CPU, VMs Mem, VMs Netz
HW 1,23,4075,2819,VM 901 VM 1901 VM 2901 VM 3901 VM 4901 VM 5901 VM 6901 VM 7901 VM 8901 VM 9901 ,16,19792,2552
HW 2,14,23679,1726,VM 902 VM 1902 VM 2902 VM 3902 VM 4902 VM 5902 VM 6902 VM 7902 VM 8902 VM 9902 ,24,23754,2733
HW 3,29,16546,4828,VM 903 VM 1903 VM 2903 VM 3903 VM 4903 VM 5903 VM 6903 VM 7903 VM 8903 VM 9903 ,20,24090,3325
HW 4,35,43999,1966,VM 904 VM 1904 VM 2904 VM 3904 VM 4904 VM 5904 VM 6904 VM 7904 VM 8904 VM 9904 ,26,24796,2713
HW 5,20,22688,867,VM 905 VM 1905 VM 2905 VM 3905 VM 4905 VM 5905 VM 6905 VM 7905 VM 8905 VM 9905 ,25,21553,2943
HW 6,21,9146,298,VM 906 VM 1906 VM 2906 VM 3906 VM 4906 VM 5906 VM 6906 VM 7906 VM 8906 VM 9906 ,18,21609,3274
HW 7,32,8758,2160,VM 907 VM 1907 VM 2907 VM 3907 VM 4907 VM 5907 VM 6907 VM 7907 VM 8907 VM 9907 ,17,26915,1688
HW 8,44,19163,1414,VM 908 VM 1908 VM 2908 VM 3908 VM 4908 VM 5908 VM 6908 VM 7908 VM 8908 VM 9908 ,29,20996,2131
HW 9,40,34182,2812,VM 909 VM 1909 VM 2909 VM 3909 VM 4909 VM 5909 VM 6909 VM 7909 VM 8909 VM 9909 ,27,27263,2751
HW 10,16,44151,4407,VM 910 VM 1910 VM 2910 VM 3910 VM 4910 VM 5910 VM 6910 VM 7910 VM 8910 VM 9910 ,18,27366,3045
HW 11,9,49769,344,VM 911 VM 1911 VM 2911 VM 3911 VM 4911 VM 5911 VM 6911 VM 7911 VM 8911 VM 9911 ,22,23371,3113
HW 12,16,15021,4022,VM 912 VM 1912 VM 2912 VM 3912 VM 4912 VM 5912 VM 6912 VM 7912 VM 8912 VM 9912 ,20,22504,2500
HW 13,29,41618,3658,VM 913 VM 1913 VM 2913 VM 3913 VM 4913 VM 5913 VM 6913 VM 7913 VM 8913 VM 9913 ,29,36836,1889
HW 14,33,13983,685,VM 914 VM 1914 VM 2914 VM 3914 VM 4914 VM 5914 VM 6914 VM 7914 VM 8914 VM 9914 ,28,26234,2129
HW 15,11,47487,4613,VM 915 VM 1915 VM 2915 VM 3915 VM 4915 VM 5915 VM 6915 VM 7915 VM 8915 VM 9915 ,21,23189,2682
HW 16,38,16795,2043,VM 916 VM 1916 VM 2916 VM 3916 VM 4916 VM 5916 VM 6916 VM 7916 VM 8916 VM 9916 ,22,25676,3608
HW 17,36,26512,1453,VM 917 VM 1917 VM 2917 VM 3917 VM 4917 VM 5917 VM 6917 VM 7917 VM 8917 VM 9917 ,18,24155,1715
HW 18,7,4808,2868,VM 918 VM 1918 VM 2918 VM 3918 VM 4918 VM 5918 VM 6918 VM 7918 VM 8918 VM 9918 ,19,30219,2396
HW 19,15,15630,19,VM 919 VM 1919 VM 2919 VM 3919 VM 4919 VM 5919 VM 6919 VM 7919 VM 8919 VM 9919 ,18,20675,2117
HW 20,38,46503,3848,VM 920 VM 1920 VM 2920 VM 3920 VM 4920 VM 5920 VM 6920 VM 7920 VM 8920 VM 9920 ,16,21675,2381
HW 21,47,42483,4187,VM 921 VM 1921 VM 2921 VM 3921 VM 4921 VM 5921 VM 6921 VM 7921 VM 8921 VM 9921 ,24,30423,3146
HW 22,24,35905,3449,VM 922 VM 1922 VM 2922 VM 3922 VM 4922 VM 5922 VM 6922 VM 7922 VM 8922 VM 9922 ,24,26915,2466
HW 23,22,2971,1888,VM 923 VM 1923 VM 2923 VM 3923 VM 4923 VM 5923 VM 6923 VM 7923 VM 8923 VM 9923 ,22,25997,2851
HW 24,15,42696,3879,VM 924 VM 1924 VM 2924 VM 3924 VM 4924 VM 5924 VM 6924 VM 7924 VM 8924 VM 9924 ,26,20298,2816
HW 25,13,34897,45,VM 925 VM 1925 VM 2925 VM 3925 VM 4925 VM 5925 VM 6925 VM 7925 VM 8925 VM 9925 ,17,22610,2293
HW 26,20,46219,4409,VM 926 VM 1926 VM 2926 VM 3926 VM 4926 VM 5926 VM 6926 VM 7926 VM 8926 VM 9926 ,22,17588,2254
HW 27,10,37414,316,VM 927 VM 1927 VM 2927 VM 3927 VM 4927 VM 5927 VM 6927 VM 7927 VM 8927 VM 9927 ,16,34302,2447
HW 28,30,21196,375,VM 928 VM 1928 VM 2928 VM 3928 VM 4928 VM 5928 VM 6928 VM 7928 VM 8928 VM 9928 ,22,24931,2310
HW 29,23,49448,813,VM 929 VM 1929 VM 2929 VM 3929 VM 4929 VM 5929 VM 6929 VM 7929 VM 8929 VM 9929 ,22,32971,2440
HW 30,9,16740,2969,VM 930 VM 1930 VM 2930 VM 3930 VM 4930 VM 5930 VM 6930 VM 7930 VM 8930 VM 9930 ,26,20320,2643
HW 31,7,11120,4494,VM 931 VM 1931 VM 2931 VM 3931 VM 4931 VM 5931 VM 6931 VM 7931 VM 8931 VM 9931 ,21,23924,2478
HW 32,33,5230,56,VM 932 VM 1932 VM 2932 VM 3932 VM 4932 VM 5932 VM 6932 VM 7932 VM 8932 VM 9932 ,27,27354,2570
HW 33,25,7849,1250,VM 933 VM 1933 VM 2933 VM 3933 VM 4933 VM 5933 VM 6933 VM 7933 VM 8933 VM 9933 ,21,24152,3190
HW 34,49,3271,2445,VM 934 VM 1934 VM 2934 VM 3934 VM 4934 VM 5934 VM 6934 VM 7934 VM 8934 VM 9934 ,18,27617,2244
HW 35,3,31777,3349,VM 935 VM 1935 VM 2935 VM 3935 VM 4935 VM 5935 VM 6935 VM 7935 VM 8935 VM 9935 ,19,27740,2666
HW 36,15,21187,4029,VM 936 VM 1936 VM 2936 VM 3936 VM 4936 VM 5936 VM 6936 VM 7936 VM 8936 VM 9936 ,20,25767,1810
HW 37,34,23793,1916,VM 937 VM 1937 VM 2937 VM 3937 VM 4937 VM 5937 VM 6937 VM 7937 VM 8937 VM 9937 ,24,19270,2300
HW 38,42,39299,471,VM 938 VM 1938 VM 2938 VM 3938 VM 4938 VM 5938 VM 6938 VM 7938 VM 8938 VM 9938 ,19,25541,2929
HW 39,1,18662,3923,VM 939 VM 1939 VM 2939 VM 3939 VM 4939 VM 5939 VM 6939 VM 7939 VM 8939 VM 9939 ,14,24222,2593
HW 40,21,31311,4648,VM 940 VM 1940 VM 2940 VM 3940 VM 4940 VM 5940 VM 6940 VM 7940 VM 8940 VM 9940 ,19,32325,2783
HW 41,23,7022,4348,VM 941 VM 1941 VM 2941 VM 3941 VM 4941 VM 5941 VM 6941 VM 7941 VM 8941 VM 9941 ,26,26594,2580
HW 42,39,46146,1945,VM 942 VM 1942 VM 2942 VM 3942 VM 4942 VM 5942 VM 6942 VM 7942 VM 8942 VM 9942 ,31,23301,3054
